yearmonth,IUCR,Primary Type,Description,FBI Code,count
2023-05,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,02,22
2023-08,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,11,87
2023-09,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,14,28
2023-09,4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,26,2
2023-09,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,24,38
2017-07,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,02,3
2023-07,0580,STALKING,SIMPLE,08A,43
2023-01,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",08B,31
2018-01,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,11,466
2023-09,5130,OTHER OFFENSE,VIOLENT OFFENDER - DUTY TO REGISTER,26,2
2022-11,031A,ROBBERY,ARMED - HANDGUN,03,428
2023-11,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,20,23
2023-10,1195,DECEPTIVE PRACTICE,FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,11,10
2023-10,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,03,28
2023-10,0555,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,04A,3
2023-10,2896,PUBLIC PEACE VIOLATION,TIRE DEFLATION DEVICE DEPLOYMENT,24,5
2023-10,1661,GAMBLING,GAME/DICE,19,3
2018-07,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,02,13
2007-02,0610,BURGLARY,FORCIBLE ENTRY,05,988
2023-08,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,17,3
2023-12,5112,OTHER OFFENSE,GUN OFFENDER - DUTY TO REPORT CHANGE OF INFORMATION,26,2
2024-02,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,26,6
2021-01,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,11,117
2021-05,0560,ASSAULT,SIMPLE,08A,1134
2021-12,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,20,17
2021-02,0486,BATTERY,DOMESTIC BATTERY SIMPLE,08B,1330
2020-01,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,17,23
2008-05,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,02,2
2003-09,0486,BATTERY,DOMESTIC BATTERY SIMPLE,08B,3259
